Wall time,Step,Value
1675638050.9497292,7200,666.0308227539062
1675638069.293748,14400,851.1334228515625
1675638082.1126685,21600,803.82958984375
1675638096.405145,28800,1054.3223876953125
1675638109.2542453,36000,1074.23193359375
1675638123.42076,43200,1198.4345703125
1675638136.7259812,50400,1226.4290771484375
1675638151.2566972,57600,1277.124755859375
1675638164.7971258,64800,1265.248779296875
1675638179.8295343,72000,1240.4859619140625
1675638193.2956634,79200,1166.843505859375
1675638208.9090023,86400,1277.31884765625
1675638222.452661,93600,1251.8311767578125
1675638237.4387014,100800,1202.21826171875
1675638250.6657734,108000,1173.803955078125
1675638266.3897872,115200,1208.083984375
1675638280.417934,122400,1260.733154296875
1675638295.8826656,129600,1292.58984375
1675638310.0741956,136800,1218.8594970703125
1675638325.8594127,144000,1277.916748046875
